swear word,frequency in US tweets,frequency in GB tweets,relative frequency in US tweets,relative frequency in GB tweets
bollocks,0,4,0.0,4.985541928407618e-05
bugger,0,0,0.0,0.0
wanker,0,1,0.0,1.2463854821019044e-05
daft,0,5,0.0,6.231927410509523e-05
thick,7,2,2.71110818483561e-05,2.492770964203809e-05
nutter,0,0,0.0,0.0
fucking hell,0,0,0.0,0.0
bonkers,0,1,0.0,1.2463854821019044e-05
cunt,2,22,7.7460233852446e-06,0.00027420480606241897
bastard,3,4,1.16190350778669e-05,4.985541928407618e-05
arsehole,0,1,0.0,1.2463854821019044e-05
